id,created_at,updated_at,numpicking,salenote,status,row,rut,name,code,desc,user,qtpck,qtpcked,route,route_id,pkl1status
1949,2022-09-02 12:22:01,2022-09-02 12:54:02,47885,103206,available,"0",C61102049K,BASE AERONAVAL VIÑA DEL MAR,"03LID0151",DESODORANTE GLADE AUTOMATICO RECARGA LAVANDA VAINILLA 270 ML,system@dmnz.cl,6,"0",VIÑA DEL MAR,"04",S
1950,2022-09-02 12:22:01,2022-09-02 12:54:02,47885,103206,available,1,C61102049K,BASE AERONAVAL VIÑA DEL MAR,ARCB80X110,BOLSA DE BASURA 80X110 PACK 10 UNIDADES BASURING,system@dmnz.cl,20,"0",VIÑA DEL MAR,"04",S
1951,2022-09-02 12:22:01,2022-09-02 12:54:01,47885,103206,available,2,C61102049K,BASE AERONAVAL VIÑA DEL MAR,25240,LIMPIADOR PISO DESINFECTANTE AROMA PRIMAVERA 900 ML POETT,system@dmnz.cl,20,"0",VIÑA DEL MAR,"04",S
1952,2022-09-02 12:22:01,2022-09-02 12:54:01,47885,103206,available,3,C61102049K,BASE AERONAVAL VIÑA DEL MAR,71393,PAÑOS DESINFECTANTES OXIVIR TB WIPES POTE 160 PAÑOS,system@dmnz.cl,12,"0",VIÑA DEL MAR,"04",S
1953,2022-09-02 12:22:01,2022-09-02 12:54:01,47885,103206,available,4,C61102049K,BASE AERONAVAL VIÑA DEL MAR,40724,TOALLA EXCELLENCE DOBLE HOJA PACK 2 ROLLOS DE 200 METROS ELITE,system@dmnz.cl,20,"0",VIÑA DEL MAR,"04",S
1954,2022-09-02 12:22:01,2022-09-02 12:54:01,47885,103206,available,5,C61102049K,BASE AERONAVAL VIÑA DEL MAR,20002467,LIMPIADOR DESINFECTANTE AMONIO CUATERNARIO 5 LITROS EXCELL,system@dmnz.cl,6,"0",VIÑA DEL MAR,"04",S
1955,2022-09-02 12:22:02,2022-09-02 12:54:09,47885,103214,available,6,C760656127,CATALAN Y CARVAJAL LTDA.,9999149CL,"LAVALOZAS KEY VAJILLA ""PLUS"" BIDON 5 LTS PROQUIMIA",system@dmnz.cl,2,"0",VIÑA DEL MAR,"04",S
1956,2022-09-02 12:22:02,2022-09-02 12:54:09,47885,103214,available,7,C760656127,CATALAN Y CARVAJAL LTDA.,8500749CL,DETERGENTE LIQUIDO SUPER 10 BIDON 5 LTS PROQUIMIA,system@dmnz.cl,1,"0",VIÑA DEL MAR,"04",S
1957,2022-09-02 12:22:02,2022-09-02 12:54:09,47885,103214,available,8,C760656127,CATALAN Y CARVAJAL LTDA.,1039153CL,LIMPIADOR PISO PROQUIMIA GALA FLORAL BIDON 5 LTS,system@dmnz.cl,1,"0",VIÑA DEL MAR,"04",S
1958,2022-09-02 12:22:02,2022-09-02 12:54:11,47885,103216,available,9,C773972060,INVERSIONES ZANETTI LIMITADA,SE70047,SERVILLETA ECOLOGICA TORK UNIV XPRESS NAP H/S 12x500,system@dmnz.cl,2,"0",VIÑA DEL MAR,"04",S
